Wafer,Session,Die,Device,TestSite,DieCol,DieRow,Band,n_lengths,Loss_per_um_dB_per_um,Loss_intercept_dB,Loss_R2,Modulation_per_um_dB_per_V_per_um,Modulation_intercept_dB_per_V,Modulation_R2
D24,20190531_151815,"(-1,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,2,O,3,-0.0005929785490036811,0.1399783958813539,0.9999852276436768,-2.2132673962211035e-06,0.0050032013240206,0.12657958217453147
D24,20190531_151815,"(-3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-1,O,3,-0.0005865966320037543,0.09851965587972143,0.979347199740732,-4.190902280060839e-06,0.0020154245725623097,0.18192637383954247
D24,20190531_151815,"(-3,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-3,O,3,-0.0005513812389553343,-0.005710897495705406,0.9997594354854499,-7.987567106102917e-06,0.012580585746579002,0.7019978212685293
D24,20190531_151815,"(-3,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,2,O,3,-0.0006886837834660585,0.21199349159526665,0.9930183222498686,-7.49144792092308e-07,-0.009927312845455158,0.023091557350452763
D24,20190531_151815,"(-4,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-4,0,O,3,-0.000674356727889121,0.1605007313099932,0.9994389702785789,-1.914999484445738e-07,0.0061864356997184565,0.0030850942880329413
D24,20190531_151815,"(0,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,-3,O,3,-0.0005074449735520968,0.060064664498319195,0.9998325890954011,-1.988440765841422e-06,0.0004249939403095811,0.5091181379398605
D24,20190531_151815,"(0,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,0,O,3,-0.0005921698151802381,0.16243397330428455,0.9991955159364094,-6.274529937721935e-06,0.007787792672573906,0.9944404225559301
D24,20190531_151815,"(0,3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,3,O,3,-0.0005090298993247018,0.22531906609669586,0.9958922779966823,-1.1150489467071213e-06,0.004624176822197964,0.02179822799030251
D24,20190531_151815,"(2,-3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,-3,O,3,-0.0006676075053216577,0.2945066318007987,0.9986261252346053,-1.551399021421175e-06,0.007602119169815927,0.16066714266201731
D24,20190531_151815,"(2,0)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,0,O,3,-0.0006047296428946472,0.2223275126891561,0.9935801409382508,6.2024653100787665e-06,-0.017424109387767613,0.654096925694164
D24,20190531_151815,"(2,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,2,O,3,-0.0005887882845742479,0.2496690685491971,0.9923572367424487,-3.852251850772062e-06,-0.0011877514296398121,0.21693825914809695
D24,20190531_151815,"(3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,3,-1,O,3,-0.0006077826342632165,0.05028530596889395,0.9940283308173163,1.4166116173847304e-05,-0.023918008758474163,0.947924920986891
D24,20190603_225101,"(-1,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-1,O,3,-0.0004939433589126128,0.09920133436574004,0.9986288575051594,-3.462239244377066e-05,-0.015588205435077296,0.9319805841421516
D24,20190603_225101,"(-1,-4)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-4,O,3,-0.0005686005829250881,-0.025122636749340392,0.9982017105100778,-6.348193686653339e-05,-0.00441507481748778,0.9995850568815787
