Wafer,Session,Die,Device,TestSite,DieCol,DieRow,Band,DesignWavelength_nm,PortLabel,Length_um,PeakIL_dB,PeakIL_at_1310_dB,IL_drop_vs_REF_dB,dIL_dV_dB_per_V,I_at_-1V_pA,I_at_-2V_pA
D08,20190526_082853,"(-1,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,2,O,1310.0,IN_2/OUT_2,1500.0,-7.077837967872631,-7.077837967872631,-1.362507016804698,-0.08850622017749858,-94.41102,-70.90559
D08,20190526_082853,"(-1,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,2,O,1310.0,IN_3/OUT_3,2500.0,-8.144349965182226,-8.144349965182226,-2.429019014114293,-0.1938820278833883,-67.34415,-53.643170000000005
D08,20190526_082853,"(-3,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,2,O,1310.0,IN_1/OUT_1,500.0,-6.669429368972771,-6.669429368972771,-0.293974856463338,-0.019646637706011917,-115.73769999999999,-94.99761
D08,20190526_082853,"(-3,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,2,O,1310.0,IN_2/OUT_2,1500.0,-7.829554244725401,-7.829554244725401,-1.454099732215968,-0.12240865493857635,-92.44178,-70.27712
D08,20190526_082853,"(-3,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,2,O,1310.0,IN_3/OUT_3,2500.0,-9.055925502777109,-9.055925502777109,-2.6804709902676764,-0.20753387507869295,-65.75195,-47.77729
D08,20190526_082853,"(2,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,2,O,1310.0,IN_1/OUT_1,500.0,-6.340583854251438,-6.340583854251438,-0.30226161532932316,-0.03200870318994487,-112.9305,-93.44737
D08,20190526_082853,"(2,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,2,O,1310.0,IN_2/OUT_2,1500.0,-7.4663179731860785,-7.4663179731860785,-1.4279957342639635,-0.09861756224105783,-92.73509,-69.35540999999999
D08,20190526_082853,"(2,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,2,2,O,1310.0,IN_3/OUT_3,2500.0,-8.476426301543261,-8.476426301543261,-2.4381040626211465,-0.17846534110169737,-71.45035,-52.34434
D08,20190526_082853,"(0,3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,3,O,1310.0,IN_1/OUT_1,500.0,-6.445338162508878,-6.445338162508878,-0.44547226819122177,-0.0439730841295672,-115.98910000000001,-90.38876
D08,20190526_082853,"(0,3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,3,O,1310.0,IN_2/OUT_2,1500.0,-7.470702147243011,-7.470702147243011,-1.4708362529253547,-0.11890687690374349,-93.15405,-70.27718
D08,20190526_082853,"(0,3)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,0,3,O,1310.0,IN_3/OUT_3,2500.0,-8.494888513395098,-8.494888513395098,-2.4950226190774423,-0.19440137809831398,-69.98388,-51.84156
D23,20190531_072042,"(-1,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-1,O,1310.0,IN_1/OUT_1,500.0,-5.852015769843073,-5.852015769843073,-0.03968048095719645,0.004002798569647581,-121.3521,-28.21036
D23,20190531_072042,"(-1,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-1,O,1310.0,IN_2/OUT_2,1500.0,-6.389422787560376,-6.389422787560376,-0.5770874986744996,-0.0023141707465778208,-118.084,-70.06765
D23,20190531_072042,"(-1,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-1,O,1310.0,IN_3/OUT_3,2500.0,-6.996417602690193,-6.996417602690193,-1.1840823138043168,0.000991639206227717,-120.43039999999999,-69.31342000000001
D23,20190531_072042,"(-3,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-3,-1,O,1310.0,IN_1/OUT_1,500.0,-6.217928053152511,-6.217928053152511,0.006514352548147251,0.007953667130995653,-119.59239999999998,-36.50643
