Wafer,Session,Die,Device,TestSite,DieCol,DieRow,Band,DesignWavelength_nm,FSR_nm,Notch_at_0V_nm,dLambda_dV_pm_per_V,PeakIL_dB,PeakIL_near_1310_dB,I_at_-1V_pA,I_at_-2V_pA,FailedContact,Vpi_V,Vpi_L_V_cm,PhaseShifter_Length_um,ER_at_-2V_dB,ER_at_0V_dB
D08,20190712_113254,"(2,-3)",MZMCTE_LULAB_450_500,DCM_LMZC,2,-3,C,1550.0,14.168371194999963,1551.62027666,-247.99721599961637,-12.608555015951225,-12.608555015951225,1991.348,3803.3509999999997,False,28.565585177822882,1.2854513330020299,450.0,35.62714358585367,30.625661236318958
D08,20190712_113254,"(-1,-4)",MZMCTE_LULAB_450_500,DCM_LMZC,-1,-4,C,1550.0,14.237720280000076,1545.93200715,-246.0254834281174,-9.848788359788362,-9.848788359788362,2718.2839999999997,4770.344,False,28.93545839563402,1.302095627803531,450.0,37.51848564444141,33.5083033680327
D08,20190712_113254,"(-4,0)",MZMCTE_LULAB_450_500,DCM_LMZC,-4,0,C,1550.0,14.349130150000065,1550.15858542,-228.88256171402952,-14.140179279787933,-14.140179279787933,2078.31,3970.5979999999995,False,31.346053719741562,1.4105724173883705,450.0,37.86182301434579,37.448954357535015
D08,20190712_113254,"(0,0)",MZMCTE_LULAB_450_500,DCM_LMZC,0,0,C,1550.0,14.23807942999997,1547.75668406,-239.4318097139798,-10.339654260171502,-10.339654260171502,-5.754345000000001,17.905060000000002,True,29.73305728885498,1.3379875779984742,450.0,37.66408898394364,38.518306584250965
D08,20190712_113254,"(2,0)",MZMCTE_LULAB_450_500,DCM_LMZC,2,0,C,1550.0,14.24123325000005,1549.28690078,-253.28438571430078,-10.865858201058204,-10.865858201058204,79.61963,483.5394,True,28.11312906209672,1.2650908077943526,450.0,35.967174152785184,36.25534920230075
D08,20190712_113254,"(-1,2)",MZMCTE_LULAB_450_500,DCM_LMZC,-1,2,C,1550.0,14.125601969999934,1545.70274393,-240.16319199964,-9.978492063492064,-9.978492063492064,45.73714,346.7994,True,29.408340746114646,1.3233753335751592,450.0,38.24346236396592,36.62715039404678
D08,20190712_113254,"(-3,2)",MZMCTE_LULAB_450_500,DCM_LMZC,-3,2,C,1550.0,14.264201689999936,1542.99736095,-254.58630285678618,-11.952224411682552,-11.952224411682552,1951.4189999999999,3960.458,False,28.014471968713995,1.26065123859213,450.0,10.106359217548224,7.990367882652237
D08,20190712_113254,"(2,2)",MZMCTE_LULAB_450_500,DCM_LMZC,2,2,C,1550.0,14.297158189999891,1550.51880938,-248.61689028519672,-13.710507343081764,-13.710507343081764,399.5418,1404.75,True,28.75339276748081,1.2939026745366367,450.0,31.878280499009843,33.7216398988615
D08,20190712_113254,"(0,3)",MZMCTE_LULAB_450_500,DCM_LMZC,0,3,C,1550.0,14.141082430000097,1547.45513553,-196.35336228540046,-10.584843915343916,-10.584843915343916,853.4919,2234.832,True,36.00926988315579,1.6204171447420106,450.0,34.82884180997287,38.52661632589937
D23,20190531_072042,"(-1,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-1,O,1310.0,9.954000000000178,1314.6781,2.0342857145958053,-7.220126652717591,-7.220126652717591,-120.80739999999999,-34.87231,True,2446.558988391154,92.96924155886384,380.0,31.824203491210938,31.977344512939453
D23,20190531_072042,"(-3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-1,O,1310.0,9.932500000000118,1307.7591,-1.3257142853976112,-9.2603253364563,-9.2603253364563,-118.7963,-73.41957000000001,True,3746.0937508948773,142.35156253400532,380.0,30.070996284484863,29.046183586120605
D23,20190531_072042,"(3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,3,-1,O,1310.0,9.882000000000062,1314.903,-4.42857142832217,-8.155855178833008,-8.155855178833008,-121.2264,-31.981400000000004,True,1115.7096774821587,42.396967744322026,380.0,33.627305030822754,33.866902351379395
D23,20190531_072042,"(-3,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-3,O,1310.0,9.888799999999947,1307.2917,-1.2800000002178018,-9.92493600845337,-9.92493600845337,-117.62310000000001,-74.46708,True,3862.812499342692,146.78687497502227,380.0,22.960847854614258,23.186601638793945
D23,20190531_072042,"(0,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,-3,O,1310.0,9.76220000000012,1313.065,2.3657142860854714,-7.472960638999939,-7.472960638999939,-120.7655,-64.57880999999999,True,2063.266907888855,78.40414249977648,380.0,34.534114837646484,34.46657609939575
D23,20190531_072042,"(2,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,2,-3,O,1310.0,9.7179000000001,1310.5123,-0.24571428581153937,-7.815724277496338,-7.815724277496338,-120.6398,-64.41127,True,19774.796503801248,751.4422671444474,380.0,31.15079975128174,31.15554714202881
D23,20190531_072042,"(-1,-4)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-4,O,1310.0,9.767000000000053,1309.4731,-2.9942857142229102,-10.237365865707398,-10.237365865707398,-117.70689999999999,-66.63189,True,1630.9398855304005,61.975715650155216,380.0,28.43827247619629,28.46527671813965
D23,20190531_072042,"(-4,0)",MZMOTE_LULAB_380_500,DCM_LMZO,-4,0,O,1310.0,9.847400000000107,1313.3775,-0.9771428568076458,-8.163832664489746,-8.163832664489746,-120.2628,-71.24080000000001,True,5038.874270734502,191.47722228791108,380.0,32.68613529205322,32.77955913543701
